,"TABLE 7. NUTRITION: NEWBORNS, INFANTS AND YOUNG CHILDREN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,Weight at birth,,,,"Infant and Young Child Feeding (0-23 months)
2013?2018*",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Low birthweight
(%)
2015",,"Unweighed at birth
(%)
2010?2018*",,"Early
initiation
of breastfeeding
(%)",,"Exclusive
breastfeeding
(<6 months) 
(%)",,"Introduction
to solid,
semi-solid or
soft foods 
(6?8 months)
(%)",,"Continued breastfeeding 
(12?23 months) 
(%)",,,,,,"Minimum diet diversity 
(6?23 months)
(%)",,"Minimum meal frequency 
(6?23 months)
(%)",,"Minimum acceptable diet 
(6?23 months)
(%)",,"Zero vegetable or fruit consumption (6?23 months)
,Morocco,0.1728467,0,0.266652245,0,0.426,,0.35,,0.84444008,x,0.35082214,x,0.45226604,x,0.19179617,x,NA,,NA,,NA,,NA,,,,,,,,,,
,Mozambique,0.13818653,0,0.48752479,0,0.69,,0.41,,0.95,,0.75377022,x,0.80136101,x,0.52582203,x,0.28039051,x,0.41176258,x,0.13259706,x,0.35714336,x,,,,,,,,,
,Myanmar,0.12303469,0,0.545927346,0,0.66764153,,0.51237877,,0.75035706,,0.78452339,,0.8415757,,0.66261597,,0.21329678,,0.57589714,,0.15853146,,0.55772926,,,,,,,,,,
,Namibia,0.15525137,0,0.13972122,0,0.71221169,,0.48324806,,0.79612411,,0.46639702,,0.54770149,,0.26690001,,0.24890232,,0.41058323,,0.12539922,,0.51832817,,,,,,,,,,
,Nauru,NA,0,0.042,0,0.764,x,0.672,x,NA,,0.665,x,NA,0,NA,0,NA,,NA,,NA,,NA,,,,,,,,,,
,Nepal,0.21813128,0,0.387082875,0,0.54929649,,0.65157356,,0.84337456,,0.93983437,,0.96829567,,0.90795563,,0.44999931,,0.71428024,,0.35764942,,0.38440048,,,,,,,,,,
,Netherlands,0.061503716,0,0.058931582,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,New Zealand,0.056949415,0,0.08312224,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Nicaragua,0.10669083,0,0.08,0,0.544,x,0.317,x,0.88705948,x,0.52223343,x,0.64232674,x,0.2782011,x,NA,,NA,,NA,,NA,,,,,,,,,,
,Niger,NA,0,0.76838479,0,0.52941833,x,0.23253159,x,0.61891193,x,0.78447136,x,0.85396973,x,0.70957809,x,0.084534798,x,0.51266754,x,0.055777683,x,0.67189339,x,,,,,,,,,
,Nigeria,NA,0,0.748,0,0.32836597,,0.25167105,,0.66440514,,0.51207775,,0.80340668,r,0.48377098,r,0.3441893,,0.45563526,,0.15473305,,0.31886604,,,,,,,,,,
,Niue,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,North Macedonia,0.090528536,0,0.03650501,0,0.20955082,x,0.23019989,x,0.86909286,x,0.27469202,x,0.25118668,x,0.26448313,x,NA,,0.65176323,x,NA,,NA,,,,,,,,,,
,Norway,0.044867373,0,0.031345826,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Oman,0.10536337,0,0,0,0.82,,0.23,,0.95,,NA,,NA,,NA,,NA,,0.65,,NA,,NA,,,,,,,,,,
